НАЗВАНИЕ.СМИ,ТЕЛЕФОН,АДРЕС.СМИ,ЭЛ.ПОЧТА...САЙТ,ГЛАВНЫЙ.РЕДАКТОР,ОБЛАСТЬ,ГОРОД.РАЙОНЫ,ТИП.СМИ,СОБСТВЕННИК,email,web
Бурабай,"87715934846, 871636 21472","Щучинск, ул.8 Марта, д. 24","gazeta.burabay@mail.ru , www.burabay-akimat.gov.kz",Булат Ракишев ,Акмолинская область,Бурабайский район ,Газета,"ГУ ""Аппарат акима Бурабайского района""",gazeta.burabay@mail.ru,http://www.burabay-akimat.gov.kz/
Бұланды Ақпарат,87164621163,"Макинск, ул.Некрасова, 19 1 этаж",vesti_bulandy@mail.ru,Айгуль Аманжолова,Акмолинская область,Буландынский район,Газета,"ТОО ""BULANDY MEDIA"", Аманжолова Айгуль, Искаков Канат, Искакова Ботагоз",vesti_bulandy@mail.ru,
Вестник Шортанды,87163222700,"п.Шортанды, ул.Абылайхана 23",gazetavesty1@mail.ru,Инна Минасян,Акмолинская область,Шортандинский район,Газета,"ТОО ""Редакция газет  ""Жаршы"" и ""Вестник"" Шортандинского района""",gazetavesty1@mail.ru,
Шортанды Жаршысы,87163122700,"п.Шортанды, ул.Абылайхана 23",shortandy_orleu@mail.ru,Гульзияш Кабдешова,Акмолинская область,Шортандинский район,Газета,"ТОО ""Редакция газет  ""Жаршы"" и ""Вестник"" Шортандинского района""",shortandy_orleu@mail.ru,
Вестник Акмола,87165130537,"аул Акмол, ул. Гагарина д. 2",vestiakmola@mail.ru,Жанат Тугельбаев,Акмолинская область,Целиноградский район,Газета,"ТОО ""Перне"", Тугельбаев Жанат",vestiakmola@mail.ru,
Вечерний Степногорск,87164556370,"7 мкр., здание 4","step_tv86@mail.ru, http://stepnogorsk.gov.kz/content/vecherniy-stepnogorsk",Сергей Жаров,Акмолинская область,Степногорск,Газета,"ТОО ""Медиа Центр города Степногорска""",step_tv86@mail.ru,http://stepnogorsk.gov.kz/content/vecherniy-stepnogorsk
Степногорск ақшамы,87164556370,"7 мкр., здание 4","step_tv86@mail.ru,http://stepnogorsk.gov.kz/content/vecherniy-stepnogorsk",Полатбек Жанбаев,Акмолинская область,Степногорск,Газета,"ТОО ""Медиа Центр города Степногорска""",step_tv86@mail.ru,http://stepnogorsk.gov.kz/content/vecherniy-stepnogorsk
Еңбекшілдер жаршысы-Вести Енбекшильдерья,"871639 21571, 871639 211963","Степняк, ул. Валиханова, д.3",gazetastep@rambler.ru,Василий Устьянцев,Акмолинская область,Район Биржан-сал ,Газета,"ТОО Редакция районной газеты ""Еңбекшілдер жаршысы-Вести Енбекшильдерья"", Устьянцев Василий",gazetastep@rambler.ru,
Ерейментау,87163321357,"Ерейментау, ул. Валиханова,  д.43 ""В"" кв.31","redakcia2008@mail.ru  , www.gazeta-ereimentau.kz",Раушан Нургазинова,Акмолинская область,Ерейментауский район,Газета,"ТОО ""Ерейментау""- ""Ереймен""",redakcia2008@mail.ru,https://www.gazeta-ereimentau.kz/
Есіл-Нұра,87165130357,"аул Акмол, ул. Гагарина д. 2",vestiakmola@mail.ru,Жанат Тугельбаев ,Акмолинская область,Целиноградский район,Газета,"ТОО ""Перне"", Тугельбаев Жанат",vestiakmola@mail.ru,
Жаксы жаршысы - Жаксынский вестник,87163522602,"с.Жаксы, ул.Ленина, д. 33","zaks_gaseta@mail.ru , www.g-news.kz",Надежда Васильева ,Акмолинская область,Жаксынский район,Газета,"ТОО ""Редакция газеты ""Жаксынский вестник""",zaks_gaseta@mail.ru,http://www.g-news.kz/
Жарқайың тынысы,87164892691,"Державинск , ул. Габдуллина, 101",tinisi-64@mail.ru,Темирбек Саухимов ,Акмолинская область,Жаркаинский район ,Газета,"ТОО ""Жарқайың-Баспасөз"", Саухимов Темирбек",tinisi-64@mail.ru,
Зерделі Зеренді - Зерен,"87163220193, 8716352359","с.Зеренда, ул.Мира, 52","zerenda_gazeta@mail.ru , https://vk.com/public144288969 ",Светлана Ким ,Акмолинская область,Зерендинский район,Газета,"ТОО ""Z-ИНФОРМ"", Ким Светлана",zerenda_gazeta@mail.ru,https://vk.com/public144288969
Знамя Родины kz,"87163821504, 8716382132","Аул. Нурмагамбетова, 57",Akkol_gazeta@mail.ru ,Куаныш Нурсадыков,Акмолинская область,Аккольский район,Газета,"ИП Самал, Нурсадыков Куаныш",Akkol_gazeta@mail.ru,
Инфо-Рейтинг,87163321185,"Ерейментау, ул. Валиханова, 48",rufa@bk.ru,Руфия  Черникова,Акмолинская область,Ерейментауский район,Газета,"ТОО ""Ерейментауская типография"", Черникова Руфия",rufa@bk.ru,
Көкшетау бүгін-Кокшетау сегодня,"87162 762194, 87752449915","ул. 8 Марта, 60А","ks.gazeta@mail.ru , shetoday@mail.ru",Олеся Жагпарова ,Акмолинская область,Кокшетау,Газета,ИП Жагпарова Олеся Дмитриевна,ks.gazeta@mail.ru  shetoday@mail.ru,
Луч,87163642649,"Щучинск, ул. Елемесова, 60",luchpres@mail.ru,Наталья Авдеюк,Акмолинская область,Бурабайский район ,Газета,"ТОО ""Щучинская газета ""ЛУЧ"", Авдеюк Наталья",luchpres@mail.ru,
Любимый город Кокшетау,87162256858,"ул.Потанина, 31","lg2006@mail.ru, http://lgorod.kz/",Любовь Пистовникова ,Акмолинская область,Кокшетау,Газета,"ТОО ""Любимый Город Кокшетау"", Рустем Шауалиев",lg2006@mail.ru,http://lgorod.kz/
Маяк,87164122173,"с. Астраханка, ул. Аль Фараби, 65",Chernega_L@mail.ru,Лидия Чернега ,Акмолинская область,Астраханский район,Газета,"ТОО ""Астраханская районная газета ""Маяк"", Чернега Лидия",Chernega_L@mail.ru,
Новая,87164563303,"Степногорск, Коммунально-складская зона, здание 90",novai@mail.ru,Галина Гаврина,Акмолинская область,Степногорск,Газета,ИП Гаврина Галина Александровна,novai@mail.ru,
Нұр Қорғалжын,87759748483,"с.Коргалжын, районный почтампт 2 этаж",nur-korgalgyn@list.ru,Ботагоз Шайзада,Акмолинская область,Коргалжынский район,Газета,"ТОО""Нұр Аяу Жан""",nur-korgalgyn@list.ru,
Отражение,87164561705,"9 мкрн, д.11, кв.48",novai@mail.ru,Галина Гаврина,Акмолинская область,Степногорск,Газета,ИП Гаврина Галина Александровна,novai@mail.ru,
Престиж,87164561360,"2 мкр., д.34, оф.23",spz_red@mail.ru,Виктор Молодовский,Акмолинская область,Степногорск,Газета,"ИП ""Гаврилов Н.И."", Гаврилов Николай",spz_red@mail.ru,
Ривер,87163321562,"ул. Абылай хана, 109",Diana@river.kz,Диана Сырымбетова ,Акмолинская область,Ерейментау,Газета,"ТОО ""RIVER KZ"", Сырымбетова Диана",Diana@river.kz,
РИСК-Бизнес,87162257041,ул. Потанина 31,"risk-b@mail.ru, http://risk-biznes.kz/",Елена Ермоленко,Акмолинская область,Кокшетау,Газета,"ТОО ""РИСК-Бизнес Кокшетау KZ""",risk-b@mail.ru,http://risk-biznes.kz/
Сандыктауский край,87164091461,"с. Балкашино, ул. Абылай хана 117/1",1balkachka@mail.ru,Мадина Касымова,Акмолинская область,Сандыктауский район,Газета,"ТОО ""Сандықтау - Ақпарат"", Касымова Мадина",1balkachka@mail.ru,
Стабильная газета,87163644030,"Щучинск, ул. Едомского, 29","44030@mail.ru , 44030.kz",Алексей Каримов,Акмолинская область,Бурабайский район ,Газета,"Стабильная газета, Каримов Алексей",44030@mail.ru,https://44030.kz/
Степной маяк,87162721143,"ул.Потанина, 31","sm_kokshetau@mail.ru, http://smkokshetau.kz/",Карлыга Мухатаева,Акмолинская область,Кокшетау,Газета,"ТОО ""Көкше-Media"", Жалгасбек Сулейменов",sm_kokshetau@mail.ru,http://smkokshetau.kz/
Целинное знамя,87164891259,"Державинск, ул.Габдуллина, 110/1 ""б""",derzhava_59@mail.ru,Раиса Вольф,Акмолинская область,Жаркаинский район ,Газета,"ТОО ""Держава-Пресс""",derzhava_59@mail.ru,
Интернет портал Zhuss,87472229973,"ул.Сулейменова д.6, кв.31",amanzhuss@mail.ru,Амангельды Жусупбеков,Акмолинская область,Кокшетау,ИА,"ИП ""Zhuss""",amanzhuss@mail.ru,
Кокшетау Азия,"87162256322, 87084442694","ул.М.Габдуллина, д. 61","kokshetau.asia@mail.ru, https://kokshetau.asia/",,Акмолинская область,Кокшетау,ИА,"ТОО ""Ақмола Ақпарат"", Сыздыков Досжан",kokshetau.asia@mail.ru,https://kokshetau.asia/
716 кз,87778366644,"ул. Абая, д.116","info@kapusta.kz, https://716.kz/",Ербол Жаксылыков,Акмолинская область,Кокшетау,ИА,"ТОО ""Интернет-магазин E-Time""",info@kapusta.kz,https://716.kz/
Акмол Информ кз,87162762194,"ул. 8 Марта, 60А","ks.gazeta@mail.ru, https://akmolinform.kz/",,Акмолинская область,Кокшетау,ИА,ИП Жагпарова Олеся Дмитриевна,ks.gazeta@mail.ru,https://akmolinform.kz/
Love radio Степногорск,"87164567701, 87164562020, 87164568586","2 мкр., д.4 оф.17","sv-delta@mail.ru , http://loveradio.kz/regions/",,Акмолинская область,Степногорск,Радио,"ТОО ""Информцентр"", Алибеков Бейбит",sv-delta@mail.ru,http://loveradio.kz/regions/
Есиль City,87164750511,"ул.М.Ауезова, д.87",,Асхат Темиргалиев ,Акмолинская область,Есильский район,Радио,"ТОО ""Есиль City"", Сыздыкова Алмагуль",,
Мегаполис,8164892499.87754,"Державинск, ул.Ниязбаева, 35, оф. 8",taynigoroda_d_@mail.ru,,Акмолинская область,Жаркаинский район ,Радио,"ТОО ""Мириад"", Сыздыков Еркен",taynigoroda_d_@mail.ru,
Rezonans.kz,,"мкр.Центральный, 61А","red@rezonans.kz , http://rezonans.kz/",Султанбек Султангалиев,Акмолинская область,Кокшетау,Сетевое издание,"Общественный фонд ""RESONANS.KZ""",red@rezonans.kz,http://rezonans.kz/
9 арна,87164562806,"мкр.7, зд.4Б,.офис 250",step_tv86@mail.ru,Айдос Еренаев,Акмолинская область,Степногорск,ТВ,"ТОО ""Медиа Центр г.Степногорска""",step_tv86@mail.ru,
Сарыарка TV,"87773202241, 87164892499","Державинск, ул. Ниязбаева, 35 А","sariarka_tv@mail.ru, taynigoroda_d_@mail.ru",Еркен Сыздыков ,Акмолинская область,Жаркаинский район ,ТВ,"ТОО ""Мириад"", Сыздыков Еркен",sariarka_tv@mail.ru taynigoroda_d_@mail.ru,
KO'KS'E,"87162401375, 87162402696","ул.Куйбышева, д.19","akmola@kaztrk.kz , http://kokshetautv.kz/ru",Гульнар Бекенова,Акмолинская область,Кокшетау,ТВ,"АО ""РТРК ""Казахстан"", Алибек Татанов",akmola@kaztrk.kz,http://kokshetautv.kz/ru
Ырғыз,87134321498,"с.Иргиз, ул. Амангелдина, д.3","urker3@mail.ru, irgizg@mail.ru",Шара Елеусіз ,Актюбинская область,Иргизский район,Газета,"ТОО Районная газета ""Ырғыз"" ",urker3@mail.ru irgizg@mail.ru,
Эврика,"87132217366, 87132212660","ул. Уалиханова, 35","office@evrika.kz , evrika@evrika.kz, http://www.rikatv.kz/evrika",Виктор Гербер,Актюбинская область,Актобе,Газета,"ТОО ""Эврика ЛТД"", Наталья Бандровская ",office@evrika.kz  evrika@evrika.kz,http://www.rikatv.kz/evrika
Актобе таймс,"87132567940, 87132412989","пр. Санкибай батыра, 26 ""р""","aktobetimes@list.ru, http://aktobetimes.kz ",Ренат Таипов,Актюбинская область,Актобе,Газета,"ТОО ""Fest""",aktobetimes@list.ru,http://aktobetimes.kz
Актюбинский вестник,"87132546900, 87132544707","ул. Рысқұлова , 190","avestnik@mail.ru  , http://www.avestnik.kz/",Айгуль Нуркеева,Актюбинская область,Актобе,Газета,"ТОО ""Ақтөбе Медиа"", Раукен Отыншин",avestnik@mail.ru,http://www.avestnik.kz/
Ақтөбе,"87132560185, 87132546903","ул. Рысқұлова , 190","aktobegazeti@mail.ru, http://www.aktobegazeti.kz/",Бауыржан Өтеулиев,Актюбинская область,Актобе,Газета,"ТОО ""Ақтөбе Медиа"", Раукен Отыншин",aktobegazeti@mail.ru,http://www.aktobegazeti.kz/
Диапазон,87132567060,ул. Есет батыра 99,gazeta@rifma.kz,Елена Гетманова,Актюбинская область,Актобе,Газета,Владимир Михаилов ,gazeta@rifma.kz,
Жем-Сағыз,87134522495,"п. Байганин ул.Конаева, 35",zhemsagyzgazeti@mail.ru,Қадір Ұлықпан,Актюбинская область,Байганинский район,Газета,"ИП ""Қадір Ұлықпан Қаратайұлы""",zhemsagyzgazeti@mail.ru,
Жұлдыз-Звезда,87133743102,"с.Алга,ул.А.Байтурсынова, 16/17",alga.gazet@mail.ru,Жеңіс Қонжарұлы,Актюбинская область,Алга,Газета,Рашид Кусайнов,alga.gazet@mail.ru,
Керек инфо,87132542246,"пр. Санкибай батыра, 26 ""р""","kerekinfoaktobe@gmail.com, http://kerek-info.kz/",Индира Кереева,Актюбинская область,Актобе,Газета,"ТОО ""Fest""",kerekinfoaktobe@gmail.com,http://kerek-info.kz/
Қарғалы,8713422007,"с.Бадамша, ул.Имашева 2",kargali.gazet@mail.ru,Кәмшат Байханова,Актюбинская область,Каргалинский район,Газета,Кәмшат Байханова,kargali.gazet@mail.ru,
Қобда,87134121476,"ул. С.Сейфуллин, 12","kobdagazet@mail.ru, https://www.instagram.com/kobdagazet/",Талгат Казиев,Актюбинская область,Актобе,Газета,"ТОО ""Аудандық ""Қобда"" газеті"", Талгат Казиев ",kobdagazet@mail.ru,https://www.instagram.com/kobdagazet/
Мәртөк тынысы,"87133121913, 871331 21978","с. Мартук, ул.Жамбыл 83",sattygul@rambler.ru,Сәттіғұл Қаракеев,Актюбинская область,Мартукский район,Газета,Сәттіғұл Қаракеев,sattygul@rambler.ru,
Мұғалжар,87133334631,"ул. А.Байтурсынова, 8","mugalzhar.gazet@mail.ru, http://mugalzhar.kz/",Алтын Сүлеймен,Актюбинская область,Кандыагаш,Газета,"ТОО ""Мұғалжар"", Қайрат Сарқұлов",mugalzhar.gazet@mail.ru,http://mugalzhar.kz/
Ойыл,87133221902,"с. Уил, ул.Кокжар 63, 3 этаж","uil-gazet@mail.ru, http://oiyl.kz/",Серикбай Койбагаров,Актюбинская область,Уилский район,Газета,"ТОО ""Газета Ойыл"", Серикбай Койбагаров",uil-gazet@mail.ru,http://oiyl.kz/
Темір,"87134949011, 22695, 87054803540","с.Шубаркудык, ул.Байганин 11",temir.gazet72@mail.ru,Бердихан Адилханов,Актюбинская область,Темирский район,Газета,"ТОО ""Темір"" газеті"", Мендихан Адилханулы",temir.gazet72@mail.ru,
Хромтау,87133627745,ул.Куразова 9,"kuan_reimov@mail.ru , xromtau.gazet@mail.ru",Реймов Куандык,Актюбинская область,Актобе,Газета,"ТОО ""Редакция газета ""Хромтау"", Куандык Реймов",kuan_reimov@mail.ru  xromtau.gazet@mail.ru,
Шалқар,87133521338,"ул. Умбетжанулы,1Б","shalkargazeti1932@mail.ru, http://shalqargazeti.kz/",Мұхтар Мырзалин,Актюбинская область,Шалкар,Газета,"ТОО ""Аудандық ""Шалқар"" газеті"", Кыдыралы Алин",shalkargazeti1932@mail.ru,http://shalqargazeti.kz/
Шежірелі өлке,87133521334,"ул. Айтеке Би, 65",murager-shalkar@mail.ru,Салтанат Смағұлқызы,Актюбинская область,Актобе,Газета,"ТОО ""Мұрагер""",murager-shalkar@mail.ru,
ozhet.kz,87021515783,"ул. С. Жаманкулов,6-1, 49","ozhetqz@gmail.com, http://ozhet.kz/",Алтынай Сағындықова,Актюбинская область,Актобе,ИА,"ИП ""Өжет""",ozhetqz@gmail.com,http://ozhet.kz/
Актобеинфо,"87132211604, 87015377612","ул. Айтеке би, 42, офис, 9","help@ai.kz , http://www.aktobeinfo.kz",Елена Фатеева,Актюбинская область,Актобе,ИА,"ТОО ""АктобеИНФО"", Фатеев В.В.",help@ai.kz,http://www.aktobeinfo.kz
Tilshi.kz,8778 523 44 96,"ул. Чекалин, 34-54","tilshi.media@gmail.com, http://tilshi.kz/",Аскар Актлеуов,Актюбинская область,Актобе,ИА,Аскар Актлеуов,tilshi.media@gmail.com,http://tilshi.kz/
TIMESKZ.KZ,8771 807 84 77,"пр. Санкибай батыра, 26 Р","timeskznews@mail.ru, https://timeskz.kz",Цыганов Ю.М.,Актюбинская область,Актобе,ИА,"ТОО ""Times.kz News"", Цыганов Ю.М.",timeskznews@mail.ru,https://timeskz.kz
Love radio Актобе,,"ул. Саркинбай батыра, д. 14 Д",,,Актюбинская область,Актобе,Радио,Тамирис Губайдуллина,,
Актобе Радио,"87132228111,87132220250,87132219393,87132222330","ул. Арынова, 1","aktoberadio@mail.ru, http://aktoberadio.kz/",Анна Шарафутдинова,Актюбинская область,Актобе,Радио,"ТОО ""Актобе Радио"",Сергей Довгалюк",aktoberadio@mail.ru,http://aktoberadio.kz/
Тандем,"87132217630, 8702 0001047","ул. Ерназарова, д.47",,,Актюбинская область,Актобе,Радио,,,
Рика ТВ,"87132 222300, 87132 220250 ,8701 7533239","ул. Ш.Уалиханова, 35","office@evrika.kz, mari_vs@list.ru",Марина Васильева,Актюбинская область,Актобе,ТВ,"ТОО ""Телекомпания РИКА-ТВ"",Наталья  Бандровская ",office@evrika.kz mari_vs@list.ru,
AQTO'BE,"87132 401636, 87132221144 , 87132 211810","ул. Т.Ахтанова, 54 ","rtrk@kaztrk.kz, aktobe_rtrk@mail.ru, tvaktobe@gmail.com, kazaktobe.tv@mail.ru, http://aktobetv.kz/ru/",Бибигуль Биманова,Актюбинская область,Актобе,ТВ,"АО ""РТРК ""Казахстан""",rtrk@kaztrk.kz aktobe_rtrk@mail.ru tvaktobe@gmail.com kazaktobe.tv@mail.ru,http://aktobetv.kz/ru/
Ақсу өңірі,"872832 21290,872832 21161","п. Жансугурова, ул. Желтоксан  5","aksuoniri@mail.ru, http://aksuoniri.kz/",Ләззат Қасымбекова,Алматинская область,Аксуский район,Газета,"ТОО ""Ақсу өңірі """,aksuoniri@mail.ru,http://aksuoniri.kz/
Алакөл,"872833 35263,  872833 35268,87283335174","г. Ушарал, ул. Женыс,129","alakred@mail.ru, http://alakol-aynasy.kz/qaz/",Азат Жақыпбек,Алматинская область,Алакольский район,Газета,"ТОО ""Алакөл айнасы"", Азат Жақыпбек",alakred@mail.ru,http://alakol-aynasy.kz/qaz/
Атамекен,87277024428,"с. Узынагаш ул. Макатаева, 164 А","Atameken1932@mail.ru, https://www.zhambylatameken.kz/",Рәтбек Терлікбаев,Алматинская область,Жамбылский район ,Газета,"ТОО ""Жамбыл Атамекен"", Рәтбек Терлікбаев",Atameken1932@mail.ru,https://www.zhambylatameken.kz/
Балқаш өңірі,"872773 91404,872773 91568","п. Баканса, ул. Д.Қонаев, 83",Balhash_oniri@mail.ru,Кумисбек Ербаев,Алматинская область,Балхашский район,Газета,"ТОО ""Балқаш өңірі""",Balhash_oniri@mail.ru,
Еңбекшіқазақ,"872775 40900 , 872775 41931","Исык, ул.Алматинская, 112","enkaz.kz@gmail.com, mezet.kz@gmail.com, https://mezet.kz/",Хайролла Ахметжанов ,Алматинская область,Енбекшиказахский район,Газета,"ТОО ""Редакция газеты ""Еңбекшіқазақ"", Хайролла Ахметжанов ",enkaz.kz@gmail.com mezet.kz@gmail.com,https://mezet.kz/
Жаркент өңірі - Яркент тәвәси -  Жаркентская  новь,87283193305,"Жаркент, ул. Пащенко, 14","zharkent_oneri@mail.ru, z-o.kz",Бағдат Атамқұлова ,Алматинская область,Панфиловский район,Газета,"ТОО ""Жаркент өңірі, Бағдат Атамқұлова ",zharkent_oneri@mail.ru,http://z-o.kz/
Жетісу,"87282 402064, 87282 41 10 46",ул. Ж.Балапанова 28,"Jetisu2002@mail.ru,http://7-su.kz/",Әміре Әрін,Алматинская область,Талдыкорган,Газета,"ТОО ""Өлке тынысы"", Мейрам Жанәділов",Jetisu2002@mail.ru,http://7-su.kz/
Жетісу шұғыласы,"87283630475, 872836 31915","п. Карабулак ул. Оразбекова, 31",Eskeldi_eli@mail.ru,Сабит Биболов,Алматинская область,Ескельдинский район,Газета,"ТОО ""Ескелді елі""",Eskeldi_eli@mail.ru,
Заман жаршысы,"872771212888, 872771 22143","Каскелен, ул. Умиралиева, 53","atlana-76@mail.ru,  zgazeta@mail.ru, zgazeta.kz",Атлана Исаева ,Алматинская область,Карасайский район,Газета,"ТОО ""Газета ""Заман жаршысы"", Атлана Исаева ",atlana-76@mail.ru  zgazeta@mail.ru,http://zgazeta.kz/
Огни Алатау,"87282 402043,87282 402045",ул. Ж.Балапанова 28,"ogni_alatautald@mail.ru , www.ognialatau.kz",Идигов Атсалим,Алматинская область,Талдыкорган,Газета,"ТОО ""Өлке тынысы"", Мейрам Жанәділов",ogni_alatautald@mail.ru,www.ognialatau.kz
Кербұлақ жұлдызы,"87284031175,872840 79087 ","п. Сарыозекский, ул.Б.Момышулы, 1""Г""",redakcia_kz@mail.ru,Ляйля Оналбаева,Алматинская область,Кербулакский район,Газета,"ТОО ""Кербұлақ жұлдызы"", Ляйля Оналбаева",redakcia_kz@mail.ru,
Нұрлы Көксу,"87283820277, 872838 20488","п. Балпык би, ул.Мырзабекова 7.",Nurly_Koksu@mail.ru,Жадыра Ермуханова ,Алматинская область,Коксуский район,Газета,"ТОО ""Нұрлы Көксу""",Nurly_Koksu@mail.ru,
Қаратал,87283479067,"Уштобе, ул. Кабанбай батыра, 49",karatal_1932@mail.ru,Асхат Омирбаев ,Алматинская область,Каратальский район,Газета,"ТОО ""Қаратал газеті""",karatal_1932@mail.ru,
Сарқан,"872839 22047, 872839 22353","Саркан, ул. Тауелсіздік, 117","igiman01@mail.ru , sarkan-gazeta.kz",Жомарт Игиман,Алматинская область,Сарканский район,Газета,"ТОО ""Сарқан газеті""",igiman01@mail.ru,http://sarkan-gazeta.kz/
Талғар,"872729 56687,872729 23909, 872729 23268","Талгар, ул.Т.Рыскулова 73","talgar_gazeta@mail.ru, http://talgargazeti.kz/",Бақтияр Қабасов,Алматинская область,Талгарский район,Газета,"ТОО ""Талғар газеті"", Бақтияр Қабасов",talgar_gazeta@mail.ru,http://talgargazeti.kz/
Талдықорған,"87282 401025, 87282 401139",ул. Балапанова 28,"taldyk@bk.ru ,http://ru.taldykorgan-online.kz/",Данияр Сейсенбаев,Алматинская область,Талдыкорган,Газета,"ТОО ""Талдықорған таңы """,taldyk@bk.ru,http://ru.taldykorgan-online.kz/
Текелі тынысы,87283542094,"Текели, ул. Абылай хана, дом 22, кв.8,9",tekeli_red@mail.ru ,Торғын Тұрлыбаева ,Алматинская область,Текели,Газета,"ТОО ""Текелі тынысы"", Торғын Тұрлыбаева ",tekeli_red@mail.ru,
Нұрлы өлке,"872772 23232, 872772 23128","Капшагай, мкрн.1, д.41","nurliolke@mail.ru, http://ru.nurliolke.kz/",Алтынбай Сикымбек ,Алматинская область,Капшагай,Газета,"ТОО ""Қапшағай тынысы"", Алтынбай Сикымбек ",nurliolke@mail.ru,http://ru.nurliolke.kz/
Хантәңірі,87277722034,"п. Кеген, ул. Б. Сокпакбаева, 20/1","G.hantaniri@mail.ru, http://hantengrigazeti.kz/",Ғани Бейқұтбай,Алматинская область,Райымбекский район,Газета,"ТОО ""Хантәңірі редакциясы"", Ғани Бейқұтбай",G.hantaniri@mail.ru,http://hantengrigazeti.kz/
Іле таңы,"872752 39024, 872752 30455","с. Отеген батыра, ул. Титова, 24","ile-tany@mail.ru, ile-tany.kz ",Роза Айдарбекова,Алматинская область,Илийский район,Газета,"ТОО ""Иле таны"", Роза Айдарбекова",ile-tany@mail.ru,http://ile-tany.kz/
Қарадала тынысы - Қарадала нәпәси,"872778 22189,872778 79092","с. Шонжы, ул.Ж.Кудайбергенов, д.61","karadala.tynysy@mail.ru, http://qaradala.kz/",Анар Дуйсенбаев,Алматинская область,Уйгурский район,Газета,"ТОО ""Қарадала тынысы - Қарадала нәпәси"", Анар Дуйсенбаев",karadala.tynysy@mail.ru,http://qaradala.kz/
Алатау,"87282 411170,  87282 411142","ул. Кабанбай батыра, 32 ","alatau_offset@mail.ru, http://alataugazeti.kz/",Айтакын Булгаков ,Алматинская область,Талдыкорган,Газета,"АО ""Типография Офсет "", ""Алматы – Болашақ"", Бақберген Түкібаев",alatau_offset@mail.ru,http://alataugazeti.kz/
Вечерний Талдыкорган,"87272 322273, 87272242630","ул. Тауелсіздік, 68/78","evening@vtk.kz, http://vtk.kz/",Елена Бурлуцкая ,Алматинская область,Талдыкорган,Газета,"ТОО ""Фирма ""Сәттілік """,evening@vtk.kz,http://vtk.kz/
Вечерний час,"87272 243423, 87272322271  ","ул. Тауелсіздік, 68/78","evening@vtk.kz, http://vtk.kz/",Евдокимова В.В.,Алматинская область,Талдыкорган,Газета,"ТОО ""Фирма ""Сәттілік """,evening@vtk.kz,http://vtk.kz/
